benchmark,flags,nodes,edges
bloaty,aflplusplus_ast_f0,245820,486816
bloaty,aflplusplus_ast_o0,328196,656369
bloaty,aflplusplus_ast_o1,249338,489229
bloaty,aflplusplus_ast_o2,241480,478768
bloaty,aflplusplus_ast_o3_native,243571,482137
bloaty,aflplusplus_ast_opt_disable,235292,517726
bloaty,aflplusplus_ast_opt_l1,235292,517726
bloaty,aflplusplus_ast_o3_lto,328196,656369
bloaty,aflplusplus_ast_o3_lto,245820,486816
lcms,aflplusplus_ast_f0,15185,28489
lcms,aflplusplus_ast_f1,16541,30389
lcms,aflplusplus_ast_o0,16141,28548
lcms,aflplusplus_ast_o1,16717,30779
lcms,aflplusplus_ast_o2,17729,32178
lcms,aflplusplus_ast_o3,18474,33714
lcms,aflplusplus_ast_o3_native,18074,32890
lcms,aflplusplus_ast_opt_disable,12660,24065
lcms,aflplusplus_ast_opt_l1,12660,24065
lcms,aflplusplus_ast_o3_lto,16141,28548
lcms,aflplusplus_ast_o3_lto,18474,33714
openssl,aflplusplus_ast_f0,134768,245707
openssl,aflplusplus_ast_f1,143516,270506
openssl,aflplusplus_ast_o0,146686,254999
openssl,aflplusplus_ast_o1,141822,264852
openssl,aflplusplus_ast_o2,140986,263106
openssl,aflplusplus_ast_o3_native,141884,269019
openssl,aflplusplus_ast_o3_lto,143516,270506
openssl,aflplusplus_ast_o3_lto,143516,270506
openthread,aflplusplus_ast_f0,46239,89196
openthread,aflplusplus_ast_f1,41078,75953
openthread,aflplusplus_ast_o0,56039,98254
openthread,aflplusplus_ast_o1,42442,77040
openthread,aflplusplus_ast_o2,41174,74964
openthread,aflplusplus_ast_o3,42556,78891
bloaty,aflplusplus_ast_f0,245820,486816
bloaty,aflplusplus_ast_o0,328196,656369
bloaty,aflplusplus_ast_o1,249338,489229
bloaty,aflplusplus_ast_o2,241480,478768
bloaty,aflplusplus_ast_o3_native,243571,482137
bloaty,aflplusplus_ast_opt_disable,235292,517726
bloaty,aflplusplus_ast_opt_l1,235292,517726
bloaty,aflplusplus_ast_o3_lto,328196,656369
bloaty,aflplusplus_ast_o3_lto,245820,486816
lcms,aflplusplus_ast_f0,15185,28489
lcms,aflplusplus_ast_f1,16541,30389
lcms,aflplusplus_ast_o0,16141,28548
lcms,aflplusplus_ast_o1,16717,30779
lcms,aflplusplus_ast_o2,17729,32178
lcms,aflplusplus_ast_o3,18474,33714
lcms,aflplusplus_ast_o3_native,18074,32890
lcms,aflplusplus_ast_opt_disable,12660,24065
lcms,aflplusplus_ast_opt_l1,12660,24065
lcms,aflplusplus_ast_o3_lto,16141,28548
lcms,aflplusplus_ast_o3_lto,18474,33714
openssl,aflplusplus_ast_f0,134768,245707
openssl,aflplusplus_ast_f1,143516,270506
openssl,aflplusplus_ast_o0,146686,254999
openssl,aflplusplus_ast_o1,141822,264852
openssl,aflplusplus_ast_o2,140986,263106
openssl,aflplusplus_ast_o3_native,141884,267796
openssl,aflplusplus_ast_o3_lto,143516,270506
openssl,aflplusplus_ast_o3_lto,143516,270506
openthread,aflplusplus_ast_f0,46239,89196
openthread,aflplusplus_ast_f1,41078,75953
openthread,aflplusplus_ast_o0,56039,98254
openthread,aflplusplus_ast_o1,42442,77040
openthread,aflplusplus_ast_o2,41174,74964
openthread,aflplusplus_ast_o3,42556,78891
openthread,aflplusplus_ast_opt_disable,37813,75820
openthread,aflplusplus_ast_opt_l1,37813,75820
openthread,aflplusplus_ast_o3_lto,56039,98254
openthread,aflplusplus_ast_o3_lto,42556,78891
sqlite3,aflplusplus_ast_f0,63249,121450
sqlite3,aflplusplus_ast_f1,93122,176227
sqlite3,aflplusplus_ast_o0,71672,121697
sqlite3,aflplusplus_ast_o1,96146,181818
sqlite3,aflplusplus_ast_o2,90448,163536
sqlite3,aflplusplus_ast_o3,96146,181818
sqlite3,aflplusplus_ast_o3_native,95552,181243
sqlite3,aflplusplus_ast_opt_disable,63292,120596
sqlite3,aflplusplus_ast_opt_l1,63292,120596
sqlite3,aflplusplus_ast_o3_lto,71672,121697
sqlite3,aflplusplus_ast_o3_lto,96146,181958
woff,aflplusplus_ast_f0,38579,80486
woff,aflplusplus_ast_f1,32762,69718
woff,aflplusplus_ast_o0,41654,85319
woff,aflplusplus_ast_o1,33288,70188
woff,aflplusplus_ast_o2,34709,72600
woff,aflplusplus_ast_o3,36609,76257
woff,aflplusplus_ast_o3_native,33636,71331
woff,aflplusplus_ast_opt_disable,19189,46077
woff,aflplusplus_ast_opt_l1,19189,46077
woff,aflplusplus_ast_o3_lto,41654,85319
woff,aflplusplus_ast_o3_lto,36609,76257
