benchmark,flags,nodes,edges
openssl,aflplusplus_ast_f0,134768,245707
openssl,aflplusplus_ast_f1,143516,270506
openssl,aflplusplus_ast_o0,146686,254999
openssl,aflplusplus_ast_o1,141822,264852
openssl,aflplusplus_ast_o2,140986,263106
openssl,aflplusplus_ast_o3_native,141884,269019
openssl,aflplusplus_ast_o3_lto,143516,270506
openssl,aflplusplus_ast_o3_lto,143516,270506
openthread,aflplusplus_ast_f0,46239,89196
openthread,aflplusplus_ast_f1,41078,75953
openthread,aflplusplus_ast_o0,56039,98254
openthread,aflplusplus_ast_o1,42442,77040
openthread,aflplusplus_ast_o2,41174,74964
openthread,aflplusplus_ast_o3,42556,78891
bloaty,aflplusplus_ast_f0,245820,486816
bloaty,aflplusplus_ast_o0,328196,656369
bloaty,aflplusplus_ast_o1,249338,489229
bloaty,aflplusplus_ast_o2,241480,478768
bloaty,aflplusplus_ast_o3_native,243571,482137
bloaty,aflplusplus_ast_opt_disable,235292,517726
bloaty,aflplusplus_ast_opt_l1,235292,517726
bloaty,aflplusplus_ast_o3_lto,328196,656369
bloaty,aflplusplus_ast_o3_lto,245820,486816
lcms,aflplusplus_ast_f0,15185,28489
lcms,aflplusplus_ast_f1,16541,30389
lcms,aflplusplus_ast_o0,16141,28548
lcms,aflplusplus_ast_o1,16717,30779
lcms,aflplusplus_ast_o2,17729,32178
lcms,aflplusplus_ast_o3,18474,33714
lcms,aflplusplus_ast_o3_native,18074,32890
lcms,aflplusplus_ast_opt_disable,12660,24065
lcms,aflplusplus_ast_opt_l1,12660,24065
lcms,aflplusplus_ast_o3_lto,16141,28548
lcms,aflplusplus_ast_o3_lto,18474,33714
openssl,aflplusplus_ast_f0,134768,245707
openssl,aflplusplus_ast_f1,143516,270506
openssl,aflplusplus_ast_o0,146686,254999
openssl,aflplusplus_ast_o1,141822,264852
openssl,aflplusplus_ast_o2,140986,263106
openssl,aflplusplus_ast_o3_native,141884,267796
openssl,aflplusplus_ast_o3_lto,143516,270506
openssl,aflplusplus_ast_o3_lto,143516,270506
openthread,aflplusplus_ast_f0,46239,89196
openthread,aflplusplus_ast_f1,41078,75953
openthread,aflplusplus_ast_o0,56039,98254
openthread,aflplusplus_ast_o1,42442,77040
openthread,aflplusplus_ast_o2,41174,74964
openthread,aflplusplus_ast_o3,42556,78891
openthread,aflplusplus_ast_opt_disable,37813,75820
openthread,aflplusplus_ast_opt_l1,37813,75820
openthread,aflplusplus_ast_o3_lto,56039,98254
openthread,aflplusplus_ast_o3_lto,42556,78891
sqlite3,aflplusplus_ast_f0,63249,121450
sqlite3,aflplusplus_ast_f1,93122,176227
sqlite3,aflplusplus_ast_o0,71672,121697
sqlite3,aflplusplus_ast_o1,96146,181818
sqlite3,aflplusplus_ast_o2,90448,163536
sqlite3,aflplusplus_ast_o3,96146,181818
sqlite3,aflplusplus_ast_o3_native,95552,181243
sqlite3,aflplusplus_ast_opt_disable,63292,120596
sqlite3,aflplusplus_ast_opt_l1,63292,120596
sqlite3,aflplusplus_ast_o3_lto,71672,121697
sqlite3,aflplusplus_ast_o3_lto,96146,181958
woff,aflplusplus_ast_f0,38579,80486
woff,aflplusplus_ast_f1,32762,69718
woff,aflplusplus_ast_o0,41654,85319
woff,aflplusplus_ast_o1,33288,70188
woff,aflplusplus_ast_o2,34709,72600
woff,aflplusplus_ast_o3,36609,76257
woff,aflplusplus_ast_o3_native,33636,71331
woff,aflplusplus_ast_opt_disable,19189,46077
woff,aflplusplus_ast_opt_l1,19189,46077
woff,aflplusplus_ast_o3_lto,41654,85319
woff,aflplusplus_ast_o3_lto,36609,76257
bloaty,aflplusplus_ast_f0,271025,561770
bloaty,aflplusplus_ast_f1,241480,478768
bloaty,aflplusplus_ast_o0,328196,656369
bloaty,aflplusplus_ast_o1,249338,489229
bloaty,aflplusplus_ast_o2,241632,475403
bloaty,aflplusplus_ast_o3,245820,486816
curl_curl,aflplusplus_ast_f0,140423,275201
curl_curl,aflplusplus_ast_f1,152076,299535
curl_curl,aflplusplus_ast_o0,152076,299535
curl_curl,aflplusplus_ast_o1,157351,302794
curl_curl,aflplusplus_ast_o2,155343,301948
curl_curl,aflplusplus_ast_o3,158029,311767
freetype,aflplusplus_ast_f0,53310,104516
freetype,aflplusplus_ast_f1,59389,113670
freetype,aflplusplus_ast_f1,60192,114868
freetype,aflplusplus_ast_o0,59922,108867
freetype,aflplusplus_ast_o1,60192,114868
freetype,aflplusplus_ast_o2,60764,115473
freetype,aflplusplus_ast_o3,62715,119553
freetype,aflplusplus_ast_o3_lto,62704,119730
freetype,aflplusplus_ast_o3_native,64237,122023
freetype,aflplusplus_ast_opt_disable,52160,102668
freetype,aflplusplus_ast_opt_disable,59922,108867
freetype,aflplusplus_ast_opt_l1,52160,102668
harfbuzz,aflplusplus_ast_f0,25319,46355
harfbuzz,aflplusplus_ast_f1,23546,39148
harfbuzz,aflplusplus_ast_o0,29139,51406
harfbuzz,aflplusplus_ast_o1,24297,40107
harfbuzz,aflplusplus_ast_o2,24254,40096
harfbuzz,aflplusplus_ast_o3,24736,41479
libjpeg,aflplusplus_ast_f0,27410,58215
libjpeg,aflplusplus_ast_f1,29495,61500
libjpeg,aflplusplus_ast_o0,27217,56601
libjpeg,aflplusplus_ast_o1,29151,60444
libjpeg,aflplusplus_ast_o2,30439,62843
libjpeg,aflplusplus_ast_o3,32086,66246
libjpeg,aflplusplus_ast_o3_lto,32086,66246
libjpeg,aflplusplus_ast_o3_native,33466,68508
