,Experiment,benchmark,fuzzer,edgecov-mean,edgecov-median,edgecov-max,edgecov-min,time
0,bloatyfuzztarget-all4hours1,bloaty_fuzz_target,aflplusplus_ast_o0,5478.0625,5662.0,5692,4984,14400
1,bloatyfuzztarget-all4hours1,bloaty_fuzz_target,aflplusplus_ast_o1,5669.416666666667,5803.5,6121,5140,14400
2,bloatyfuzztarget-all4hours1,bloaty_fuzz_target,aflplusplus_ast_o2,5657.166666666667,5541.0,6029,5424,14400
3,bloatyfuzztarget-all4hours1,bloaty_fuzz_target,aflplusplus_ast_o3,5577.541666666667,5535.0,5910,5449,14400
4,exp-2022-04-21-23-01-44,freetype2-2017,aflplusplus_ast_o0,17924.0,17833.0,20299,15941,3600
5,exp-2022-04-21-23-01-44,freetype2-2017,aflplusplus_ast_o1,18769.25,18908.5,21243,16413,3600
6,exp-2022-04-21-23-01-44,freetype2-2017,aflplusplus_ast_o2,18881.0,19086.0,20962,16644,3600
7,exp-2022-04-21-23-01-44,freetype2-2017,aflplusplus_ast_o3,18501.583333333332,18495.0,20827,15802,3600
8,lcms-2017-03-21-all4hours1,lcms-2017-03-21,aflplusplus_ast_o0,2530.875,2678.5,2736,1273,14400
9,lcms-2017-03-21-all4hours1,lcms-2017-03-21,aflplusplus_ast_o1,2347.375,2576.0,3224,1263,14400
10,lcms-2017-03-21-all4hours1,lcms-2017-03-21,aflplusplus_ast_o2,2820.3125,2869.5,3385,1360,14400
11,lcms-2017-03-21-all4hours1,lcms-2017-03-21,aflplusplus_ast_o3,2170.9166666666665,1967.0,3294,1235,14400
12,exp-2022-04-22-00-58-08,libpng-1.2.56,aflplusplus_ast_o0,2076.25,2080.0,2087,2057,14400
13,exp-2022-04-22-00-58-08,libpng-1.2.56,aflplusplus_ast_o1,2109.1666666666665,2112.0,2120,2071,14400
14,exp-2022-04-22-00-58-08,libpng-1.2.56,aflplusplus_ast_o2,2066.7083333333335,2066.0,2082,2024,14400
15,exp-2022-04-22-00-58-08,libpng-1.2.56,aflplusplus_ast_o3,2065.0416666666665,2064.0,2081,2052,14400
16,libxml2-v292-all4hours1,libxml2-v2.9.2,aflplusplus_ast_o0,11672.229166666666,11711.0,12555,10230,14400
17,libxml2-v292-all4hours1,libxml2-v2.9.2,aflplusplus_ast_o1,11640.979166666666,11874.5,12435,9101,14400
18,libxml2-v292-all4hours1,libxml2-v2.9.2,aflplusplus_ast_o2,11823.770833333334,12007.5,12494,9372,14400
19,libxml2-v292-all4hours1,libxml2-v2.9.2,aflplusplus_ast_o3,11324.895833333334,11315.0,12319,8740,14400
20,openthread-2019-12-23-all,openthread-2019-12-23,aflplusplus_ast_o0,5693.854166666667,5698.0,5793,5531,14400
21,openthread-2019-12-23-all,openthread-2019-12-23,aflplusplus_ast_o1,5800.895833333333,5813.0,5820,5621,14400
22,openthread-2019-12-23-all,openthread-2019-12-23,aflplusplus_ast_o2,5733.125,5722.5,5825,5605,14400
23,openthread-2019-12-23-all,openthread-2019-12-23,aflplusplus_ast_o3,5768.6875,5793.5,5829,5588,14400
24,sqlite3ossfuzz-all4hours1,sqlite3_ossfuzz,aflplusplus_ast_o0,23116.041666666668,23477.5,24906,20066,14400
25,sqlite3ossfuzz-all4hours1,sqlite3_ossfuzz,aflplusplus_ast_o1,23337.895833333332,23673.0,25202,20204,14400
26,sqlite3ossfuzz-all4hours1,sqlite3_ossfuzz,aflplusplus_ast_o2,23369.1875,23768.5,24832,20524,14400
27,sqlite3ossfuzz-all4hours1,sqlite3_ossfuzz,aflplusplus_ast_o3,23700.395833333332,23807.0,24935,20429,14400
28,exp-2022-04-26-15-20-12,vorbis-2017-12-11,aflplusplus_ast_o0,2101.0,2088.0,2148,2067,3600
29,exp-2022-04-26-15-20-12,vorbis-2017-12-11,aflplusplus_ast_o1,2130.8333333333335,2138.0,2163,2061,3600
30,exp-2022-04-26-15-20-12,vorbis-2017-12-11,aflplusplus_ast_o2,2130.4166666666665,2158.0,2166,2070,3600
31,exp-2022-04-26-15-20-12,vorbis-2017-12-11,aflplusplus_ast_o3,2130.4166666666665,2151.0,2163,2055,3600
32,woff2-2016-05-06-all,woff2-2016-05-06,aflplusplus_ast_o0,1845.6875,1842.0,1907,1723,14400
33,woff2-2016-05-06-all,woff2-2016-05-06,aflplusplus_ast_o1,1866.5,1878.5,1889,1784,14400
34,woff2-2016-05-06-all,woff2-2016-05-06,aflplusplus_ast_o2,1864.75,1871.5,1903,1758,14400
35,woff2-2016-05-06-all,woff2-2016-05-06,aflplusplus_ast_o3,1864.0,1864.5,1883,1831,14400
