benchmark,covered,not_covered,edges,total
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_f0,0,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_f1,2,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o0,6,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o1,7,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o2,7,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o3,5,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o3_native,10,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_opt_disable,10,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_opt_l1,11,2289
vorbis-2017-12-11,aflplusplus_ast_f0,aflplusplus_ast_o3_lto,15,2289
vorbis-2017-12-11,aflplusplus_ast_f0,afl_from_input_seed,16,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_f0,2,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_f1,0,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o0,7,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o1,8,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o2,8,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o3,6,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o3_native,11,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_opt_disable,10,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_opt_l1,12,2289
vorbis-2017-12-11,aflplusplus_ast_f1,aflplusplus_ast_o3_lto,15,2289
vorbis-2017-12-11,aflplusplus_ast_f1,afl_from_input_seed,16,2289
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_f0,9,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_f1,10,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o0,0,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o1,8,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o2,11,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o3,7,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o3_native,14,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_opt_disable,5,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_opt_l1,6,2292
vorbis-2017-12-11,aflplusplus_ast_o0,aflplusplus_ast_o3_lto,16,2292
vorbis-2017-12-11,aflplusplus_ast_o0,afl_from_input_seed,21,2292
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_f0,5,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_f1,6,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o0,3,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o1,0,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o2,7,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o3,5,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o3_native,9,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_opt_disable,5,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_opt_l1,8,2287
vorbis-2017-12-11,aflplusplus_ast_o1,aflplusplus_ast_o3_lto,13,2287
vorbis-2017-12-11,aflplusplus_ast_o1,afl_from_input_seed,14,2287
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_f0,2,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_f1,3,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o0,3,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o1,4,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o2,0,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o3,1,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o3_native,4,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_opt_disable,6,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_opt_l1,6,2284
vorbis-2017-12-11,aflplusplus_ast_o2,aflplusplus_ast_o3_lto,10,2284
vorbis-2017-12-11,aflplusplus_ast_o2,afl_from_input_seed,12,2284
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_f0,4,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_f1,5,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_o0,3,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_o1,6,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_o2,5,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_o3,0,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_o3_native,9,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_opt_disable,7,2288
vorbis-2017-12-11,aflplusplus_ast_o3,aflplusplus_ast_opt_l1,8,2288
