left_b,left_f,right_b,right_f,diff
bloaty,o0,bloaty,o0,0
bloaty,o0,bloaty,o1,212
bloaty,o0,bloaty,o2,115
bloaty,o0,bloaty,o3,120
bloaty,o1,bloaty,o0,788
bloaty,o1,bloaty,o1,0
bloaty,o1,bloaty,o2,417
bloaty,o1,bloaty,o3,640
bloaty,o2,bloaty,o0,470
bloaty,o2,bloaty,o1,196
bloaty,o2,bloaty,o2,0
bloaty,o2,bloaty,o3,352
bloaty,o3,bloaty,o0,283
bloaty,o3,bloaty,o1,227
bloaty,o3,bloaty,o2,160
bloaty,o3,bloaty,o3,0
lcms,o0,lcms,o0,0
lcms,o0,lcms,o1,196
lcms,o0,lcms,o2,1489
lcms,o0,lcms,o3,501
lcms,o1,lcms,o0,164
lcms,o1,lcms,o1,0
lcms,o1,lcms,o2,1454
lcms,o1,lcms,o3,370
lcms,o2,lcms,o0,13
lcms,o2,lcms,o1,10
lcms,o2,lcms,o2,0
lcms,o2,lcms,o3,0
lcms,o3,lcms,o0,109
lcms,o3,lcms,o1,10
lcms,o3,lcms,o2,1084
lcms,o3,lcms,o3,0
lcms,o0,lcms,o0,0
lcms,o0,lcms,o1,8
lcms,o0,lcms,o2,10
lcms,o0,lcms,o3,67
lcms,o1,lcms,o0,536
lcms,o1,lcms,o1,0
lcms,o1,lcms,o2,7
lcms,o1,lcms,o3,64
lcms,o2,lcms,o0,690
lcms,o2,lcms,o1,159
lcms,o2,lcms,o2,0
lcms,o2,lcms,o3,151
lcms,o3,lcms,o0,684
lcms,o3,lcms,o1,153
lcms,o3,lcms,o2,88
lcms,o3,lcms,o3,0
libxml2,o0,libxml2,o0,0
libxml2,o0,libxml2,o1,183
libxml2,o0,libxml2,o2,281
libxml2,o0,libxml2,o3,461
libxml2,o1,libxml2,o0,658
libxml2,o1,libxml2,o1,0
libxml2,o1,libxml2,o2,751
libxml2,o1,libxml2,o3,813
libxml2,o2,libxml2,o0,586
libxml2,o2,libxml2,o1,581
libxml2,o2,libxml2,o2,0
libxml2,o2,libxml2,o3,325
libxml2,o3,libxml2,o0,704
libxml2,o3,libxml2,o1,581
libxml2,o3,libxml2,o2,263
libxml2,o3,libxml2,o3,0
libxml2,o0,libxml2,o0,0
libxml2,o0,libxml2,o1,287
libxml2,o0,libxml2,o2,238
libxml2,o0,libxml2,o3,318
libxml2,o1,libxml2,o0,304
libxml2,o1,libxml2,o1,0
libxml2,o1,libxml2,o2,193
libxml2,o1,libxml2,o3,386
libxml2,o2,libxml2,o0,631
libxml2,o2,libxml2,o1,569
libxml2,o2,libxml2,o2,0
libxml2,o2,libxml2,o3,324
libxml2,o3,libxml2,o0,495
