id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,900,2681,,,0,1,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__1.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,1800,2690,,,0,2,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__2.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,2700,2730,,,0,3,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__3.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,3600,2798,,,0,4,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__4.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,4500,2811,,,0,5,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__5.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,5400,2892,,,0,6,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__6.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,6300,2896,,,0,7,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__7.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,7200,2902,,,0,8,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__8.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,4,8100,2902,,,0,9,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-4__9.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,5,900,2472,,,0,1,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-5__1.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,5,1800,2705,,,0,2,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-5__2.sancov
0,0,/not/relevant,lcms-2017-03-21preseeded1,afl_from_input_seed,lcms-2017-03-21,2022-05-27 04:39:42,2022-05-27 08:49:44,5,2700,2804,,,0,3,/home/matt/sancov_util_results/lcms-2017-03-21preseeded1/sancov__lcms-2017-03-21preseeded1__lcms-2017-03-21__afl_from_input_seed__trial-5__3.sancov
