id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,900,28387,,,0,1,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__1.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,1800,28623,,,0,2,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__2.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,2700,28834,,,0,3,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__3.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,3600,29001,,,0,4,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__4.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,4500,29219,,,0,5,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__5.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,5400,29455,,,0,6,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__6.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,6300,30107,,,0,7,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__7.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,7200,30217,,,0,8,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__8.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,13,8100,30214,,,0,9,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-13__9.sancov
0,0,/not/relevant,sqlite3ossfuzzpreseeded1,afl_from_input_seed,sqlite3_ossfuzz,2022-05-27 04:39:42,2022-05-27 08:49:44,14,900,27625,,,0,1,/home/matt/ASTtop/AST/scripts/sancov_util_results/sqlite3ossfuzzpreseeded1/sancov__sqlite3ossfuzzpreseeded1__sqlite3_ossfuzz__afl_from_input_seed__trial-14__1.sancov
