id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,900,9970,,,0,1,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__1.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,1800,10595,,,0,2,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__2.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,2700,10695,,,0,3,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__3.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,3600,10820,,,0,4,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__4.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,4500,10838,,,0,5,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__5.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,5400,10850,,,0,6,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__6.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,6300,10861,,,0,7,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__7.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,7200,10863,,,0,8,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__8.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,8100,10877,,,0,9,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__9.sancov
0,0,/not/relevant,exp-2022-05-28-23-07-05-harfbuzz-1.3.2,aflplusplus_ast_f0,harfbuzz-1.3.2,2022-05-27 04:39:42,2022-05-27 08:49:44,395,9000,10879,,,0,10,/home/b/bdata-unsync/ast-fuzz/experiment-data/o0_coverage/sancov_util_results/exp-2022-05-28-23-07-05-harfbuzz-1.3.2/sancov__exp-2022-05-28-23-07-05-harfbuzz-1.3.2__harfbuzz-1.3.2__aflplusplus_ast_f0__trial-395__10.sancov
