id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,900,2268,,,0,1,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__1.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,1800,2268,,,0,2,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__2.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,2700,2268,,,0,3,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__3.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,3600,2268,,,0,4,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__4.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,4500,2268,,,0,5,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__5.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,5400,2269,,,0,6,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__6.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,6300,2269,,,0,7,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__7.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,7200,2269,,,0,8,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__8.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,695,8100,2269,,,0,9,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-695__9.sancov
0,0,/not/relevant,exp-2022-06-06-00-44-39-vorbis,afl_from_input_seed,vorbis-2017-12-11,2022-05-27 04:39:42,2022-05-27 08:49:44,696,900,2268,,,0,1,/home/b/bdata-unsync/ast-fuzz/experiment-data/two_stage/sancov_util_results/exp-2022-06-06-00-44-39-vorbis/sancov__exp-2022-06-06-00-44-39-vorbis__vorbis-2017-12-11__afl_from_input_seed__trial-696__1.sancov
