id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,900,2901,,,0,1,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__1.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,1800,3018,,,0,2,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__2.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,2700,3032,,,0,3,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__3.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,3600,3032,,,0,4,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__4.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,4500,3032,,,0,5,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__5.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,5400,3039,,,0,6,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__6.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,6300,3362,,,0,7,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__7.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,7200,3364,,,0,8,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__8.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,8100,3365,,,0,9,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__9.sancov
0,0,/not/relevant,exp-2022-06-01-14-59-48-miner-libjpeg-turbo,aflplusplus_ast_o3_native,libjpeg-turbo-07-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,229,9000,3365,,,0,10,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-01-14-59-48-miner-libjpeg-turbo/sancov__exp-2022-06-01-14-59-48-miner-libjpeg-turbo__libjpeg-turbo-07-2017__aflplusplus_ast_o3_native__trial-229__10.sancov
