id,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,corpusNr,sancov_file
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,900,14490,,,0,1,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__1.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,1800,15685,,,0,2,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__2.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,2700,16490,,,0,3,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__3.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,3600,17196,,,0,4,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__4.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,4500,18516,,,0,5,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__5.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,5400,18575,,,0,6,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__6.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,6300,19512,,,0,7,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__7.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,7200,19582,,,0,8,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__8.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,8100,19691,,,0,9,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__9.sancov
0,0,/not/relevant,exp-2022-06-02-00-21-26-miner-freetype2-2017,aflplusplus_ast_o3_native,freetype2-2017,2022-05-27 04:39:42,2022-05-27 08:49:44,244,9000,19726,,,0,10,/home/b/bdata-unsync/ast-fuzz/miner/miner-experiment-data/sancov_util_results/exp-2022-06-02-00-21-26-miner-freetype2-2017/sancov__exp-2022-06-02-00-21-26-miner-freetype2-2017__freetype2-2017__aflplusplus_ast_o3_native__trial-244__10.sancov
